date,open,high,low,close,volume
1986-03-12,0.0633,0.064,0.0633,0.0633,392979600
1986-03-13,0.0648,0.0656,0.0648,0.0648,125290800
1986-03-14,0.0671,0.0679,0.0671,0.0671,57866400
1986-03-17,0.0664,0.0664,0.0656,0.0656,28285200
1986-03-18,0.0648,0.0648,0.064,0.064,32335200
1986-03-19,0.064,0.064,0.0625,0.0625,22712400
1986-03-20,0.0625,0.0633,0.0625,0.0625,17787600
1986-03-21,0.0617,0.0617,0.0602,0.0602,16232400
1986-03-24,0.0602,0.061,0.0602,0.0602,20736000
1986-03-25,0.0602,0.061,0.0602,0.0602,21675600
1986-03-26,0.061,0.0625,0.061,0.061,23328000
1986-03-27,0.0633,0.0648,0.0633,0.0633,21513600
1986-03-31,0.064,0.0648,0.064,0.064,9882000
1986-04-01,0.0617,0.0617,0.061,0.061,20314800
1986-04-02,0.061,0.0617,0.0602,0.0602,12960000
1986-04-03,0.0625,0.064,0.0625,0.0625,11955600
1986-04-04,0.0625,0.0633,0.0617,0.0617,10659600
1986-04-07,0.0625,0.0633,0.0625,0.0625,9007200
1986-04-08,0.0625,0.064,0.0625,0.0625,15001200
1986-04-09,0.0625,0.0633,0.0625,0.0625,8942400
1986-04-10,0.0625,0.0633,0.0625,0.0625,9428400
1986-04-11,0.064,0.0648,0.064,0.064,18273600
1986-04-14,0.064,0.0648,0.064,0.064,46785600
1986-04-15,0.064,0.0648,0.064,0.0648,12020400
1986-04-16,0.0648,0.0679,0.064,0.0679,22550400
1986-04-17,0.0679,0.0741,0.0679,0.0741,19699200
1986-04-18,0.0741,0.0818,0.0741,0.0802,27799200
1986-04-21,0.0802,0.0891,0.0795,0.088,33534000
1986-04-22,0.088,0.088,0.0826,0.0833,38264400
1986-04-23,0.0833,0.0833,0.081,0.081,4114800
1986-04-24,0.081,0.0826,0.081,0.0826,10789200
1986-04-25,0.0826,0.0841,0.0826,0.0841,4633200
1986-04-28,0.0841,0.0864,0.0841,0.0849,46008000
1986-04-29,0.0849,0.0856,0.0833,0.0841,2786400
1986-04-30,0.0826,0.0826,0.0772,0.0772,9720000
1986-05-01,0.0772,0.0795,0.0772,0.0787,21546000
1986-05-02,0.0787,0.0795,0.0741,0.0741,10627200
1986-05-05,0.0741,0.0756,0.0741,0.0756,4924800
1986-05-06,0.0756,0.0779,0.0741,0.0779,7257600
1986-05-07,0.0779,0.0795,0.0779,0.0795,11826000
1986-05-08,0.0795,0.0818,0.0787,0.0802,21254400
1986-05-09,0.0802,0.0818,0.0802,0.0818,7581600
1986-05-12,0.0818,0.0818,0.0802,0.081,11404800
1986-05-13,0.081,0.0833,0.0802,0.0833,35510400
1986-05-14,0.0833,0.0833,0.081,0.081,2559600
1986-05-15,0.081,0.0826,0.081,0.0826,939600
1986-05-16,0.0826,0.0833,0.0818,0.0833,3985200
1986-05-19,0.0833,0.0833,0.0787,0.0787,8974800
1986-05-20,0.0787,0.0802,0.0787,0.0787,4438800
1986-05-21,0.0787,0.0795,0.0787,0.0795,874800
1986-05-22,0.0795,0.0795,0.0764,0.0772,11599200
1986-05-23,0.0772,0.0779,0.0756,0.0756,4600800
1986-05-27,0.0756,0.0772,0.0748,0.0764,2430000
1986-05-28,0.0764,0.0764,0.0748,0.0764,1198800
1986-05-29,0.0748,0.0748,0.0733,0.0733,5086800
1986-05-30,0.0733,0.0748,0.0718,0.0725,20574000
1986-06-02,0.0725,0.0725,0.0687,0.0702,8845200
1986-06-03,0.0702,0.0722,0.0648,0.0722,62175600
1986-06-04,0.0722,0.0725,0.071,0.0725,22582800
1986-06-05,0.0725,0.0802,0.071,0.0772,28447200
1986-06-06,0.0772,0.0787,0.0772,0.0772,4341600
1986-06-09,0.0772,0.0779,0.0741,0.0764,6091200
1986-06-10,0.0764,0.0764,0.0733,0.0748,17917200
1986-06-11,0.0748,0.0772,0.0748,0.0772,10432800
1986-06-12,0.0772,0.0776,0.0764,0.0764,12700800
1986-06-13,0.0764,0.0787,0.0764,0.0772,19213200
1986-06-16,0.0772,0.0779,0.0764,0.0764,5378400
1986-06-17,0.0764,0.0776,0.0748,0.0756,18500400
1986-06-18,0.0756,0.0764,0.0748,0.0748,8164800
1986-06-19,0.0748,0.0764,0.0748,0.076,5670000
1986-06-20,0.076,0.0764,0.0745,0.0748,21384000
1986-06-23,0.0748,0.0764,0.0741,0.0764,18079200
1986-06-24,0.0764,0.0764,0.0741,0.0764,10659600
1986-06-25,0.0764,0.0764,0.0756,0.0756,550800
1986-06-26,0.0756,0.0772,0.0741,0.0764,5670000
1986-06-27,0.0764,0.0764,0.0748,0.0748,13867200
1986-06-30,0.0748,0.0764,0.0748,0.0752,7549200
1986-07-01,0.0752,0.0764,0.0748,0.0764,2721600
1986-07-02,0.0764,0.0764,0.0748,0.0748,972000
1986-07-03,0.0748,0.0764,0.0748,0.0748,4050000
1986-07-07,0.0748,0.0764,0.0733,0.0741,10303200
1986-07-08,0.0741,0.0741,0.0733,0.0733,6577200
1986-07-09,0.0733,0.0741,0.0733,0.0741,3304800
1986-07-10,0.0741,0.0756,0.0741,0.0741,2170800
1986-07-11,0.0741,0.0756,0.0733,0.0733,5605200
1986-07-14,0.0733,0.0748,0.0725,0.0748,19083600
1986-07-15,0.0733,0.0733,0.0656,0.0664,30747600
1986-07-16,0.0648,0.0648,0.0532,0.0548,112492800
1986-07-17,0.0556,0.0602,0.0556,0.0586,131900400
1986-07-18,0.0586,0.0594,0.0571,0.0579,20379600
1986-07-21,0.0579,0.0579,0.0563,0.0571,8910000
1986-07-22,0.0571,0.0571,0.0556,0.0556,8067600
1986-07-23,0.0556,0.0563,0.0548,0.0548,7776000
1986-07-24,0.0548,0.0556,0.0509,0.0517,16783200
1986-07-25,0.0509,0.0509,0.0486,0.0509,8618400
1986-07-28,0.0502,0.0502,0.0478,0.0502,7192800
1986-07-29,0.0502,0.0502,0.0478,0.049,28609200
1986-07-30,0.049,0.0494,0.0478,0.0494,9169200
1986-07-31,0.0494,0.0494,0.0478,0.0478,3078000
1986-08-01,0.0478,0.0494,0.0478,0.0478,5896800
1986-08-04,0.0478,0.0478,0.0448,0.0455,12376800
1986-08-05,0.0455,0.0471,0.0448,0.0448,3272400
1986-08-06,0.0448,0.0471,0.0448,0.0459,2559600
1986-08-07,0.0459,0.0471,0.0448,0.0471,5378400
1986-08-08,0.0471,0.0471,0.0448,0.0471,5767200
1986-08-11,0.0471,0.0471,0.0417,0.0448,44874000
1986-08-12,0.0455,0.0478,0.0455,0.0471,40014000
1986-08-13,0.0471,0.0502,0.0471,0.049,37810800
1986-08-14,0.049,0.049,0.0471,0.049,21157200
1986-08-15,0.049,0.0502,0.0486,0.049,15487200
1986-08-18,0.049,0.0494,0.0486,0.049,29905200
1986-08-19,0.049,0.0494,0.0486,0.0494,6901200
1986-08-20,0.0494,0.0494,0.0471,0.0471,8715600
1986-08-21,0.0471,0.0486,0.0471,0.0471,1555200
1986-08-22,0.0471,0.0478,0.0471,0.0471,388800
1986-08-25,0.0471,0.0478,0.0471,0.0478,7646400
1986-08-26,0.0478,0.0478,0.0424,0.0448,3855600
1986-08-27,0.0448,0.0471,0.0448,0.0471,5799600
1986-08-28,0.0471,0.0486,0.0463,0.0486,56862000
1986-08-29,0.0486,0.0525,0.0486,0.0509,40856400
1986-09-02,0.0509,0.0532,0.0509,0.0525,20736000
1986-09-03,0.0525,0.0525,0.0509,0.0525,19213200
1986-09-04,0.0525,0.0525,0.0478,0.0494,89877600
1986-09-05,0.0494,0.0502,0.0471,0.0486,30391200
1986-09-08,0.0486,0.0486,0.0463,0.0478,1944000
1986-09-09,0.0478,0.0486,0.0471,0.0486,14774400
1986-09-10,0.0486,0.0486,0.0471,0.0471,37843200
1986-09-11,0.0471,0.0478,0.0417,0.0417,8586000
1986-09-12,0.0417,0.0448,0.0409,0.0448,19504800
1986-09-15,0.0448,0.0448,0.0432,0.0432,1198800
1986-09-16,0.0432,0.0463,0.0432,0.0463,28058400
