,Price,Address,Beds,SqFt.,Full Baths,Half Baths,Lot Size
0,"$725,000","0 Gateway, Rock Springs, WY 82901",,,,,
1,"$452,900","1003 Winchester Blvd., Rock Springs, WY 82901",4 Beds,,4 Full Baths,,
2,"$396,900","600 Talladega, Rock Springs, WY 82901",5 Beds,"3,154 Sq. Ft",3 Full Baths,,
3,"$389,900","3239 Spearhead Way, Rock Springs, WY 82901",4 Beds,"3,076 Sq. Ft",3 Full Baths,1 Half Bath,
4,"$254,000","522 Emerald Street, Rock Springs, WY 82901",3 Beds,"1,172 Sq. Ft",3 Full Baths,,
5,"$252,900","1302 Veteran's Drive, Rock Springs, WY 82901",4 Beds,"1,932 Sq. Ft",2 Full Baths,,
6,"$210,000","1021 Cypress Cir, Rock Springs, WY 82901",4 Beds,"1,676 Sq. Ft",3 Full Baths,,
7,"$209,000","913 Madison Dr, Rock Springs, WY 82901",3 Beds,"1,344 Sq. Ft",2 Full Baths,,
8,"$199,900","1344 Teton Street, Rock Springs, WY 82901",3 Beds,"1,920 Sq. Ft",2 Full Baths,,
9,"$196,900","4 Minnies Lane, Rock Springs, WY 82901",3 Beds,"1,664 Sq. Ft",2 Full Baths,,
10,"$725,000","0 Gateway, Rock Springs, WY 82901",,,,,
11,"$452,900","1003 Winchester Blvd., Rock Springs, WY 82901",4 Beds,,4 Full Baths,,
12,"$396,900","600 Talladega, Rock Springs, WY 82901",5 Beds,"3,154 Sq. Ft",3 Full Baths,,
13,"$389,900","3239 Spearhead Way, Rock Springs, WY 82901",4 Beds,"3,076 Sq. Ft",3 Full Baths,1 Half Bath,
14,"$254,000","522 Emerald Street, Rock Springs, WY 82901",3 Beds,"1,172 Sq. Ft",3 Full Baths,,
15,"$252,900","1302 Veteran's Drive, Rock Springs, WY 82901",4 Beds,"1,932 Sq. Ft",2 Full Baths,,
16,"$210,000","1021 Cypress Cir, Rock Springs, WY 82901",4 Beds,"1,676 Sq. Ft",3 Full Baths,,
17,"$209,000","913 Madison Dr, Rock Springs, WY 82901",3 Beds,"1,344 Sq. Ft",2 Full Baths,,
18,"$199,900","1344 Teton Street, Rock Springs, WY 82901",3 Beds,"1,920 Sq. Ft",2 Full Baths,,
19,"$196,900","4 Minnies Lane, Rock Springs, WY 82901",3 Beds,"1,664 Sq. Ft",2 Full Baths,,
20,"$725,000","0 Gateway, Rock Springs, WY 82901",,,,,
21,"$452,900","1003 Winchester Blvd., Rock Springs, WY 82901",4 Beds,,4 Full Baths,,
22,"$396,900","600 Talladega, Rock Springs, WY 82901",5 Beds,"3,154 Sq. Ft",3 Full Baths,,
23,"$389,900","3239 Spearhead Way, Rock Springs, WY 82901",4 Beds,"3,076 Sq. Ft",3 Full Baths,1 Half Bath,
24,"$254,000","522 Emerald Street, Rock Springs, WY 82901",3 Beds,"1,172 Sq. Ft",3 Full Baths,,
25,"$252,900","1302 Veteran's Drive, Rock Springs, WY 82901",4 Beds,"1,932 Sq. Ft",2 Full Baths,,
26,"$210,000","1021 Cypress Cir, Rock Springs, WY 82901",4 Beds,"1,676 Sq. Ft",3 Full Baths,,
27,"$209,000","913 Madison Dr, Rock Springs, WY 82901",3 Beds,"1,344 Sq. Ft",2 Full Baths,,
28,"$199,900","1344 Teton Street, Rock Springs, WY 82901",3 Beds,"1,920 Sq. Ft",2 Full Baths,,
29,"$196,900","4 Minnies Lane, Rock Springs, WY 82901",3 Beds,"1,664 Sq. Ft",2 Full Baths,,
